115	AKT2	1	AKT3	0.353097	0.000000
290	SMAD2	1	AKT3	0.386461	0.000000
297	MDM2	1	AKT3	0.462012	0.000000
70	CTNNB1	2	HDAC6	0.396078	0.713235
96	TUBB	2	HDAC6	0.397858	0.000000
173	FYN	2	HDAC6	0.108914	0.000000
210	GSK3B	2	HDAC6	0.397858	0.000000
339	NTRK1	2	HDAC6	0.384955	0.446154
490	SRSF2	2	HDAC6	0.397858	0.000000
527	SYK	2	HDAC6	0.241620	0.329412
62	PARP1	6	PARP2	0.402833	0.605556
70	CTNNB1	6	PARP2	0.378121	0.649351
318	MYC	6	PARP2	0.328065	0.000000
62	PARP1	7	PARP3	0.454961	0.511111
116	ESR1	9	RAD50	0.391778	0.593407
183	GATA3	9	RAD50	0.303165	0.373737
271	JUN	9	RAD50	0.227750	0.000000
293	MAX	9	RAD50	0.409837	0.465021
306	MRE11A	9	RAD50	0.478852	0.801587
308	MSH2	9	RAD50	0.230722	0.444444
380	ATR	9	RAD50	0.290629	0.615385
441	BARD1	9	RAD50	0.185357	0.285714
466	RFC1	9	RAD50	0.303879	0.509615
487	BLM	9	RAD50	0.106625	0.331104
51	LRRK2	11	CDK2	0.477502	0.673469
186	SND1	11	CDK2	0.493882	0.552885
247	IDH1	11	CDK2	0.403509	0.000000
302	MITF	11	CDK2	0.403509	0.000000
324	ATIC	11	CDK2	0.493997	0.000000
339	NTRK1	11	CDK2	0.403509	0.000000
376	PLK1	11	CDK2	0.493997	0.000000
380	ATR	11	CDK2	0.126063	0.000000
441	BARD1	11	CDK2	0.376806	0.000000
515	BRCA2	11	CDK2	0.496074	0.696864
605	SMC1A	11	CDK2	0.431881	0.000000
529	TAF1	13	TSHZ1	0.361571	0.000000
339	NTRK1	15	CDK6	0.447643	0.000000
377	PML	15	CDK6	0.149175	0.000000
403	FBXW7	15	CDK6	0.441023	0.491071
434	FANCM	15	CDK6	0.460061	0.511521
435	PRX	15	CDK6	0.460061	0.511521
520	STAT3	15	CDK6	0.372682	0.000000
642	RUNX1	15	CDK6	0.238894	0.000000
170	ABL1	18	CDKN1B	0.289931	0.000000
235	HRAS	19	CDKN2A	0.496224	0.000000
689	NCOR1	19	CDKN2A	0.304789	0.570248
166	SUZ12	20	SF3A1	0.305865	0.000000
260	IL7R	20	SF3A1	0.350265	0.000000
490	SRSF2	20	SF3A1	0.457946	0.000000
503	SMARCB1	20	SF3A1	0.074314	0.000000
566	VHL	20	SF3A1	0.457946	0.000000
181	GATA1	23	IKZF1	0.386461	0.000000
173	FYN	25	SEMA3A	0.190799	0.000000
285	LIMK1	25	SEMA3A	0.467643	0.528889
114	ERG	29	NDRG1	0.376806	0.000000
122	EWSR1	29	NDRG1	0.403509	0.000000
245	HSP90AA1	29	NDRG1	0.305865	0.000000
265	AR	29	NDRG1	0.376806	0.000000
303	MLH1	29	NDRG1	0.472078	0.527778
689	NCOR1	29	NDRG1	0.423196	0.609524
502	SMARCA4	30	CDX2	0.477251	0.659259
255	IKBKB	31	NCOA2	0.120844	0.000000
274	KIF5B	31	NCOA2	0.487046	0.766749
380	ATR	31	NCOA2	0.269009	0.627586
551	TP53	31	NCOA2	0.368724	0.741758
97	EP300	32	CEBPA	0.431203	0.469767
403	FBXW7	32	CEBPA	0.218759	0.000000
549	TOP2A	32	CEBPA	0.361571	0.000000
291	SMAD3	35	CTCF	0.268200	0.000000
292	SMAD4	35	CTCF	0.239047	0.000000
346	PBX1	35	CTCF	0.300643	0.000000
385	POU5F1	35	CTCF	0.300643	0.000000
387	POU5F1B	35	CTCF	0.268200	0.000000
448	RAD21	35	CTCF	0.239047	0.000000
456	RARB	35	CTCF	0.268200	0.000000
