590	CTCF	16	ZBTB33	0.459585	0.000000
13028	TP53	16	ZBTB33	0.190499	0.562500
3579	EP300	33	HDAC5	0.314844	0.000000
8048	MAP1B	33	HDAC5	0.360195	0.000000
10632	PRKD1	33	HDAC5	0.469162	0.000000
3688	EZH2	34	PDCD6IP	0.461095	0.000000
16854	CDH1	50	CHAF1A	0.365852	0.430746
8119	MEN1	86	NR1H3	0.354148	0.000000
2083	CPT1A	95	HUWE1	0.256488	0.000000
3343	EEF2	95	HUWE1	0.422840	0.000000
5332	FBXO9	95	HUWE1	0.422840	0.000000
5337	FBXO4	95	HUWE1	0.478687	0.000000
8377	MYL1	95	HUWE1	0.373371	0.000000
8733	ATP5B	95	HUWE1	0.478687	0.000000
9749	FBXL19	95	HUWE1	0.422840	0.000000
10360	TRIM36	95	HUWE1	0.256488	0.000000
13028	TP53	95	HUWE1	0.347588	0.831202
13243	VCP	95	HUWE1	0.478687	0.000000
14926	CUL4B	95	HUWE1	0.329568	0.000000
16003	NEK9	95	HUWE1	0.478687	0.000000
16773	CDC6	95	HUWE1	0.478687	0.000000
657	NES	98	ATP9A	0.415963	0.000000
6681	HSPA1L	98	ATP9A	0.395643	0.000000
9433	PIK3C3	98	ATP9A	0.323335	0.000000
4767	MTOR	129	SGK2	0.454783	0.000000
13794	PALB2	130	RAD50	0.494128	0.000000
13251	VHL	140	RASGRP1	0.263318	0.000000
3443	ELF3	157	AKAP9	0.469822	0.000000
8581	NRAS	157	AKAP9	0.439038	0.732500
13028	TP53	159	G3BP1	0.060587	0.318296
13028	TP53	166	CEBPZ	0.065199	0.224348
13028	TP53	242	DCAF7	0.385229	0.572052
4171	SNRNP200	256	SRRM1	0.448669	0.000000
10528	CCAR1	256	SRRM1	0.487129	0.000000
11580	RANBP2	256	SRRM1	0.396235	0.000000
16346	DDX23	256	SRRM1	0.487129	0.000000
3688	EZH2	272	AKAP8	0.404739	0.000000
8549	NOTCH1	273	STAG1	0.458795	0.531987
11603	RB1	281	CWC27	0.417962	0.623256
897	CHD4	313	IKZF1	0.446531	0.000000
15042	IRS4	390	TUBGCP3	0.392868	0.000000
11419	PTPN11	410	VAV3	0.394943	0.469265
